station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,circuity_avg,edge_density_km,edge_length_avg,edge_length_total,intersection_count,intersection_density_km,k_avg,m,n,node_density_km,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segment_count,streets_per_node_avg,Circuit Index (μ),Alpha Index,Beta Index,Gamma Index,Road Density (km/km²),Intersection Density (nodes/km²),Average Circuitousness (A'),Degree Centrality (Mean),Degree Centrality (Std Dev),Closeness Centrality (Mean),Closeness Centrality (Std Dev),Betweenness Centrality (Mean),Betweenness Centrality (Std Dev),Global Integration (Mean),Global Integration (Std Dev),"Local Integration (Radius=3, Mean)","Local Integration (Radius=3, Std Dev)"
2100106,2100106,ときわ台,,,21001,13,174-0071,板橋区常盤台１-４３-１,139.689015,35.758771,0000-00-00,0000-00-00,0,2100106,tokiwadai,0.8270026716335993,129322011323.81348,56.67046946705235,129322.01132381348,777.0,777000000.0,5.690773067331671,2282.0,802.0,802000000.0,0.0,70751967560.67682,57.85115908477254,70751.96756067681,1223.0,3.1795511221945136,2520.0,0.8914043155288291,2.778954802259887,0.9276284771334276,83.63585854155144,704.2606231816368,0.8105773319065827,0.0039278513106146,0.0012009746476976,0.0009659864529176,0.0001537778868966,0.0183977067677421,0.0216550877269678,0.130693978406271,2.6877652144785498,0.0220351792669867,0.1309047781905753
2100107,2100107,上板橋,,,21001,13,174-0076,板橋区上板橋２-３６-７,139.67641,35.763596,0000-00-00,0000-00-00,0,2100107,kamiitabashi,0.8327748226966772,125833470944.13573,55.87631924695192,125833.47094413573,754.0,754000000.0,5.622971285892635,2252.0,801.0,801000000.0,0.0,66746873843.72254,56.13698388874898,66746.87384372254,1189.0,3.0923845193508117,3378.0,0.9044176706827308,2.8058823529411763,0.9362955032119914,95.4667722906961,930.0616986932632,0.8105273770151503,0.0030025493343404,0.0009447337510439,0.0010305053958759,0.0001977330388564,0.0156604688232083,0.0182865996162518,0.0697039479574966,1.713474399612425,0.0227206471374205,0.1176873988075821
2100108,2100108,東武練馬,,,21001,13,175-0083,板橋区徳丸２-２-１４,139.661964,35.768698,0000-00-00,0000-00-00,0,2100108,toubunerima,0.8286741283032768,113200233843.88388,59.79938396401683,113200.23384388386,640.0,640000000.0,5.287709497206704,1893.0,716.0,716000000.0,0.0,62316371488.35235,61.57744218216634,62316.37148835234,1012.0,2.9762569832402237,3820.0,0.8252322315834953,2.648252050064739,0.8835133189344853,101.57034221454866,1152.3812598247546,0.8104896156262695,0.0022869188687951,0.0008155071686325,0.0009541781698308,0.0001779770672042,0.0143159289215935,0.0213888628285432,0.0066933622652327,0.2757877835682589,0.0217864699295031,0.1108147043223003
2100109,2100109,下赤塚,,,21001,13,175-0093,板橋区赤塚新町１-２３-１,139.644482,35.770558,0000-00-00,0000-00-00,0,2100109,shitaakatsuka,0.8456626395780715,128725079991.23152,48.87056947275304,128725.07999123153,892.0,892000000.0,4.946478873239436,2634.0,1065.0,1065000000.0,0.0,71054596964.17433,49.93295640490114,71054.59696417433,1423.0,2.770892018779343,3228.0,0.7245791245791245,2.447085201793722,0.816427289048474,93.30157296633776,1109.1110096716457,0.8104679701631409,0.0021956798580473,0.0008540252360387,0.0010047372658936,0.0001768303368734,0.0148942053150206,0.0210740357956472,0.1417852199677414,3.183662012299249,0.0256785915693771,0.1233141755371807
2100110,2100110,成増,,,21001,13,175-0094,板橋区成増２-１３-１,139.632708,35.777723,0000-00-00,0000-00-00,0,2100110,narimasu,0.8391347608591372,114523287602.09042,56.35988563095001,114523.28760209042,693.0,693000000.0,5.157360406091371,2032.0,788.0,788000000.0,0.0,63908166724.952194,57.31674145735623,63908.16672495219,1115.0,2.9302030456852792,2748.0,0.7087954604075316,2.415249871200412,0.8059137012205604,83.50233099414663,965.3742016917776,0.8103958185951096,0.0024899483208251,0.0009799560448401,0.0010212550270637,0.000184305395696,0.0154617786156502,0.0217601828261468,0.0010202763939657,0.0001839428345767,0.0155169493823928,0.0963887679846012
2100201,2100201,浅草,,,21002,13,111-0033,東京都台東区花川戸一丁目4-1,139.798214,35.711883,0000-00-00,0000-00-00,0,2100201,asakusa,0.815638471008965,104110670067.6045,48.04368715625496,104110.6700676045,953.0,953000000.0,4.468041237113402,2167.0,970.0,970000000.0,0.0,77738448558.94275,48.52587300807912,77738.44855894275,1602.0,3.430927835051546,6753.0,0.8728189220628151,2.74425213123224,0.9152235719824244,132.48885135585408,1925.2774522147715,0.8110518876168944,0.0014182181556755,0.0004072466106297,0.0010366267625774,0.0001840683772088,0.0099178114379163,0.0132115853422868,0.0010435374831928,0.0001779729773766,0.0464272686723075,0.168083072978369
2100202,2100202,とうきょうスカイツリー,,,21002,13,131-0045,墨田区押上１丁目,139.809332,35.71043,1902-04-01,0000-00-00,0,2100202,toukyousukaitsurii,0.8237372251998848,117418110573.5664,52.27876695172146,117418.1105735664,827.0,827000000.0,5.272300469483568,2246.0,852.0,852000000.0,0.0007363770250368,70729488481.74103,52.0835703105604,70729.48848174102,1358.0,3.3204225352112675,5872.0,0.9621497624119284,2.9223968565815324,0.9747706422018348,129.37004432777405,1518.934988133276,0.8110717858617158,0.0019144427491526,0.0005178775099792,0.0009833816510903,0.000168194833777,0.0118778574727776,0.0169709295445678,0.0726626166970665,2.799992827952034,0.0545081294215632,0.1961314174298282
2100203,2100203,押上〈スカイツリー前〉,,,21002,13,131-0045,墨田区押上一丁目,139.812935,35.710702,0000-00-00,0000-00-00,0,2100203,oshiage〈sukaitsuriimae〉,0.8259942394334291,120558975229.60698,51.71985209335349,120558.97522960698,831.0,831000000.0,5.3463302752293576,2331.0,872.0,872000000.0,0.0007418397626112,69874174616.2366,51.8354411099678,69874.1746162366,1348.0,3.2041284403669725,5051.0,0.9553622091923586,2.90854119425548,0.9702471003530004,122.0439373536316,1316.0124356911094,0.8110707077025543,0.0021992750051081,0.0006178902257597,0.0009976636346201,0.0001775409686313,0.0128165776286774,0.0162387100302201,0.0157198837975019,0.2223853214996707,0.0495193569823513,0.2219207962482486
2100204,2100204,曳舟,,,21002,13,131-0032,墨田区東向島２丁目,139.816634,35.718418,0000-00-00,0000-00-00,0,2100204,hikifune,0.8347388340153749,119272186639.75516,49.676046080697695,119272.18663975516,846.0,846000000.0,4.976165803108808,2401.0,965.0,965000000.0,0.0007380073800738,68314121441.51915,50.416325787099005,68314.12144151915,1355.0,2.916062176165803,4093.0,0.8770087850867795,2.7517123287671232,0.9180234218794632,104.33005221861538,1161.831084570836,0.8109872617029069,0.0023569270481945,0.000760693372636,0.0009927396748464,0.0001549612727342,0.0139345916042995,0.0173595652219546,0.0704345230912625,2.1477673810492104,0.0530898124672618,0.2575657587807348
2100205,2100205,東向島,,,21002,13,131-0032,墨田区東向島４丁目,139.819306,35.724324,0000-00-00,0000-00-00,0,2100205,higashimukishima,0.8405038443089473,123644788381.46744,49.61668875660812,123644.78838146744,885.0,885000000.0,4.891069676153092,2492.0,1019.0,1019000000.0,0.0,71012429101.71684,50.18546226269741,71012.42910171684,1415.0,2.877330716388616,4721.0,0.8638609332113449,2.7257769652650823,0.9092572264910356,111.97220321569364,1360.2774042385429,0.8109263243004373,0.0019939846124836,0.0006395294227725,0.000995835636903,0.0001611736948981,0.0124815120624576,0.0159506522742017,0.0009980057617554,0.0001416590736592,0.0430151691671054,0.1759288515783824
